episode,steps,total_reward,avg_reward,epsilon,avg_loss,r_detection,r_false_positive,r_throughput,r_latency,r_stability,action_0_pct,action_1_pct,action_2_pct,action_3_pct,buffer_size,wall_time_s
1,200,60.107663,0.300538,0.9962,0.0,0.4383,-0.0081,0.5605,0.5786,-0.147,26.5,22.0,19.0,32.5,200,0.24
2,200,53.660687,0.268303,0.9924,0.0,0.4361,-0.0097,0.43,0.458,-0.14,30.0,23.0,22.5,24.5,400,0.78
3,200,63.396117,0.316981,0.9886,0.0,0.4969,-0.0059,0.5278,0.5522,-0.147,26.5,25.0,27.5,21.0,600,0.63
4,200,67.794982,0.338975,0.9848,0.0,0.5214,-0.0061,0.5784,0.605,-0.153,23.5,30.5,24.5,21.5,800,0.89
5,200,58.460232,0.292301,0.981,25.398315,0.4655,-0.0091,0.4931,0.493,-0.149,25.5,27.0,22.5,25.0,1000,4.49
6,200,66.411337,0.332057,0.9772,1.902392,0.5395,-0.0055,0.5358,0.5265,-0.154,23.0,28.5,25.5,23.0,1200,16.92
7,200,65.210657,0.326053,0.9734,0.189067,0.5625,-0.0038,0.468,0.4782,-0.16,20.0,29.5,25.0,25.5,1400,14.44
8,200,61.488264,0.307441,0.9696,0.120729,0.477,-0.0088,0.5323,0.546,-0.156,22.0,21.0,26.0,31.0,1600,16.1
9,200,64.452559,0.322263,0.9658,0.084818,0.4681,-0.0074,0.6025,0.6131,-0.148,26.0,25.0,27.5,21.5,1800,15.36
10,200,66.317935,0.33159,0.962,0.078702,0.4862,-0.0035,0.6016,0.6213,-0.144,28.0,19.5,28.0,24.5,2000,21.58
11,200,60.921132,0.304606,0.9582,0.075872,0.4165,-0.0122,0.6226,0.6186,-0.142,29.0,31.0,22.0,18.0,2200,14.78
12,200,66.087328,0.330437,0.9544,0.078397,0.4958,-0.0061,0.5887,0.6121,-0.159,20.5,22.0,30.0,27.5,2400,12.44
13,200,57.675031,0.288375,0.9506,0.091171,0.49,-0.0076,0.4307,0.4487,-0.152,24.0,25.5,20.5,30.0,2600,12.52
14,200,61.434696,0.307173,0.9468,0.042539,0.5036,-0.0069,0.4874,0.4996,-0.156,22.0,27.5,27.5,23.0,2800,10.77
15,200,62.099775,0.310499,0.943,0.060581,0.4804,-0.01,0.5463,0.545,-0.156,22.0,25.5,27.0,25.5,3000,11.64
16,200,62.288552,0.311443,0.9392,0.0614,0.5063,-0.0046,0.4977,0.5101,-0.156,22.0,27.5,30.0,20.5,3200,14.16
