episode,steps,total_reward,avg_reward,actor_loss,critic_loss,entropy,clip_fraction,r_detection,r_false_positive,r_throughput,r_latency,r_stability,action_allow_pct,action_block_pct,action_reroute_pct,action_rate_limit_pct,avg_rate_limit,avg_reroute_weight,avg_priority,total_timesteps,wall_time_s
1,200,70.717792,0.353589,0.0,0.0,0.0,0.0,0.5897,-0.0125,0.5561,0.5591,-0.185,7.5,42.0,19.5,31.0,0.5734,0.6335,0.6085,200,24.67
2,200,66.937273,0.334686,0.0,0.0,0.0,0.0,0.5842,-0.0149,0.4862,0.5081,-0.19,5.0,46.0,16.5,32.5,0.5983,0.747,0.626,400,24.83
3,200,75.18846,0.375942,0.0,0.0,0.0,0.0,0.6429,-0.0109,0.5603,0.5636,-0.189,5.5,49.0,15.5,30.0,0.6333,0.6761,0.6032,600,25.2
4,200,72.239256,0.361196,0.0,0.0,0.0,0.0,0.6033,-0.0114,0.5572,0.5784,-0.187,6.5,42.0,19.0,32.5,0.5567,0.7066,0.5993,800,24.8
5,200,69.104124,0.345521,0.0,0.0,0.0,0.0,0.529,-0.0128,0.6196,0.6299,-0.188,6.0,39.0,26.0,29.0,0.5272,0.7278,0.6419,1000,25.02
6,200,69.840213,0.349201,0.0,0.0,0.0,0.0,0.5723,-0.0128,0.5637,0.5725,-0.183,8.5,42.0,23.0,26.5,0.5382,0.7021,0.6226,1200,25.07
7,200,66.873361,0.334367,0.0,0.0,0.0,0.0,0.5345,-0.0132,0.5633,0.5757,-0.182,9.0,37.5,22.5,31.0,0.5186,0.6798,0.6009,1400,24.62
8,200,66.491584,0.332458,0.0,0.0,0.0,0.0,0.5068,-0.0182,0.6105,0.61,-0.183,8.5,37.0,25.0,29.5,0.5184,0.6864,0.5834,1600,25.01
9,200,70.338714,0.351694,0.0,0.0,0.0,0.0,0.5696,-0.0118,0.5794,0.5839,-0.185,7.5,37.0,21.5,34.0,0.5368,0.6663,0.5942,1800,24.92
10,200,69.101554,0.345508,0.0,0.0,0.0,0.0,0.5924,-0.0124,0.5172,0.5226,-0.182,9.0,37.5,24.0,29.5,0.5327,0.6487,0.5479,2000,25.15
11,200,57.635163,0.288176,1.374538,2.501276,7.456742,0.95542,0.3621,-0.0204,0.6652,0.6567,-0.17,15.0,42.5,26.5,16.0,0.5223,0.617,0.3329,2200,50.98
12,200,74.955273,0.374776,1.374538,2.501276,7.456742,0.95542,0.6491,-0.0094,0.537,0.5554,-0.186,7.0,58.0,17.5,17.5,0.662,0.7033,0.3451,2400,24.25
13,200,67.515843,0.337579,1.374538,2.501276,7.456742,0.95542,0.5127,-0.0164,0.6143,0.6177,-0.173,13.5,61.0,17.0,8.5,0.6516,0.6393,0.2759,2600,25.14
14,200,78.609723,0.393049,1.374538,2.501276,7.456742,0.95542,0.6467,-0.0082,0.6147,0.6193,-0.177,11.5,56.5,17.5,14.5,0.6295,0.6726,0.2956,2800,25.34
15,200,72.131691,0.360658,1.374538,2.501276,7.456742,0.95542,0.6452,-0.0101,0.4916,0.4894,-0.176,12.0,59.0,19.5,9.5,0.6301,0.669,0.2823,3000,24.56
16,200,72.774557,0.363873,1.374538,2.501276,7.456742,0.95542,0.6168,-0.0097,0.54,0.5656,-0.18,10.0,56.0,20.0,14.0,0.6315,0.7421,0.2881,3200,26.14
17,200,73.331191,0.366656,1.374538,2.501276,7.456742,0.95542,0.5881,-0.0118,0.6068,0.6096,-0.176,12.0,57.0,18.0,13.0,0.6312,0.6497,0.2176,3400,25.44
18,200,78.573824,0.392869,1.374538,2.501276,7.456742,0.95542,0.6625,-0.0098,0.5895,0.5988,-0.18,10.0,64.0,13.5,12.5,0.6919,0.6688,0.3133,3600,25.03
19,200,72.406595,0.362033,1.374538,2.501276,7.456742,0.95542,0.6739,-0.0068,0.4401,0.4637,-0.182,9.0,53.5,20.0,17.5,0.6242,0.7148,0.2968,3800,25.54
20,200,64.272921,0.321365,1.374538,2.501276,7.456742,0.95542,0.5378,-0.0141,0.5093,0.5087,-0.175,12.5,52.0,20.5,15.0,0.5975,0.6602,0.221,4000,25.16
21,200,66.7163,0.333582,1.178444,4.798799,8.791834,0.914941,0.5831,-0.0104,0.4751,0.4888,-0.172,14.0,50.5,23.5,12.0,0.5632,0.7062,0.2913,4200,52.38
22,200,70.951431,0.354757,1.178444,4.798799,8.791834,0.914941,0.5863,-0.0075,0.5532,0.5594,-0.168,16.0,42.0,31.5,10.5,0.4712,0.6684,0.2003,4400,26.56
23,200,69.183093,0.345915,1.178444,4.798799,8.791834,0.914941,0.5596,-0.0077,0.5661,0.5567,-0.166,17.0,41.5,29.0,12.5,0.4774,0.6528,0.1521,4600,35.01
24,200,63.107931,0.31554,1.178444,4.798799,8.791834,0.914941,0.5688,-0.0066,0.4171,0.43,-0.159,20.5,45.5,28.0,6.0,0.4848,0.5811,0.1373,4800,35.24
25,200,68.641443,0.343207,1.178444,4.798799,8.791834,0.914941,0.5689,-0.007,0.5303,0.5505,-0.172,14.0,40.0,34.0,12.0,0.4574,0.6551,0.2553,5000,37.64
26,200,65.228596,0.326143,1.178444,4.798799,8.791834,0.914941,0.5154,-0.0072,0.5485,0.5501,-0.155,22.5,39.0,30.5,8.0,0.4333,0.6097,0.2364,5200,34.28
27,200,61.013822,0.305069,1.178444,4.798799,8.791834,0.914941,0.5841,-0.0049,0.3536,0.3652,-0.169,15.5,39.0,38.5,7.0,0.4278,0.6425,0.2065,5400,34.83
28,200,65.303867,0.326519,1.178444,4.798799,8.791834,0.914941,0.5033,-0.0099,0.5714,0.5806,-0.161,19.5,39.0,31.0,10.5,0.4425,0.6207,0.3665,5600,37.33
29,200,69.670927,0.348355,1.178444,4.798799,8.791834,0.914941,0.5744,-0.0063,0.5432,0.5441,-0.157,21.5,41.5,29.0,8.0,0.4508,0.6214,0.2754,5800,35.78
30,200,66.309279,0.331546,1.178444,4.798799,8.791834,0.914941,0.4749,-0.0134,0.6396,0.6538,-0.164,18.0,44.0,30.5,7.5,0.4724,0.5959,0.2705,6000,39.63
31,200,65.349121,0.326746,2.59794,5.662161,9.126402,0.902734,0.566,-0.0053,0.4662,0.4777,-0.16,20.0,38.5,34.0,7.5,0.4226,0.5842,0.2533,6200,103.24
32,200,62.312899,0.311564,2.59794,5.662161,9.126402,0.902734,0.441,-0.0109,0.6118,0.6082,-0.147,26.5,31.0,33.5,9.0,0.3635,0.5772,0.0961,6400,46.04
33,200,65.775836,0.328879,2.59794,5.662161,9.126402,0.902734,0.5492,-0.0071,0.5039,0.5119,-0.158,21.0,39.5,30.5,9.0,0.4382,0.6339,0.2154,6600,48.41
